name,team_name,city_name,state_name
austin tyler reaves,Los Angeles Lakers,Los Angeles,California
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas
d'angelo russell,Los Angeles Lakers,Los Angeles,California
devin armani booker,Phoenix Suns,Phoenix,Arizona
draymond jamal green,Golden State Warriors,San Francisco,California
duncan mcbryde robinson,Miami Heat,Miami,Florida
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas
jaylen marselles brown,Boston Celtics,Boston,Massachusetts
jayson christopher tatum,Boston Celtics,Boston,Massachusetts
jimmy butler,Miami Heat,Miami,Florida
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
kermit washington,Golden State Warriors,San Francisco,California
kevin wesley love,Miami Heat,Miami,Florida
kobe bean bryant,Los Angeles Lakers,Los Angeles,California
kyle forman anderson,Golden State Warriors,San Francisco,California
kyle terrell lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
lamar brandon stevens,Memphis Grizzlies,Memphis,Tennessee
paul clifton anthony george,Philadelphia 76ers,Philadelphia,Pennsylvania
rik smits,Indiana Pacers,Indianapolis,Indiana
steve kerr,Golden State Warriors,San Francisco,California
tim duncan,San Antonio Spurs,San Antonio,Texas
tyler christopher herro,Miami Heat,Miami,Florida
vernon maxwell,Dallas Mavericks,Dallas,Texas
wardell stephen curry,Golden State Warriors,San Francisco,California
zach collins,San Antonio Spurs,San Antonio,Texas
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
