query_id,query_text,nl_query,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,relative_error,error
S1,"SELECT area, city_name, gdp FROM city","What is the name, geographic area, and GDP of each NBA home city mentioned in the documents?",True,PZ,49.72071599960327,29,131985,3518,135503,0.3218390804597701,0.3218390804597701,0.3218390804597701,29,18,False,,
S2,"SELECT nba_team, name, own_year FROM owner","For each NBA team owner described in the documents, what is their name, which team do they own, and what year did they acquire ownership?",True,PZ,15.844672203063965,16,36247,1269,37516,0.7916666666666666,0.7916666666666666,0.7916666666666666,16,14,False,,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78","What is the name, state, and geographic area of each NBA home city?",True,PZ,59.36380624771118,0,155855,4592,160447,0.0,0.0,0.0,1,0,False,,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642","What is the name, state, and geographic area of each city where an NBA team is based?",True,PZ,56.132118463516235,1,136370,3961,140331,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,False,,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'","For each NBA team owner, what is their name, age, and which team do they own?",True,PZ,20.845621585845947,15,35788,2008,37796,0.7555555555555555,0.7555555555555555,0.7555555555555555,15,13,False,,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66","What is each NBA team owner's name, age, and which team do they own?",True,PZ,19.377178192138672,8,33507,1778,35285,0.5882352941176471,0.625,0.5555555555555555,9,6,False,,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0","For each NBA player, how many MVP awards have they won, what was their draft pick number, and how many FIBA World Cup titles have they earned?",True,PZ,181.30288672447205,24,410382,14534,424916,0.0,0.0,0.0,121,0,False,,
F14,"SELECT position, nationality, age FROM player WHERE age < 91","What is each NBA player's playing position, nationality, and age?",True,PZ,201.30246114730835,116,342760,19349,362109,0.0,0.0,0.0,126,0,False,,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '","For each NBA team, what is its name, founding year, and who currently owns it?",True,PZ,52.2454936504364,30,131593,3839,135432,0.5802469135802469,0.5222222222222223,0.6527777777777778,24,22,False,,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989","For each NBA team, who owns it, how many championships has it won, and when was it founded?",True,PZ,61.96653127670288,25,131803,4918,136721,0.0,0.0,0.0,25,0,False,,
