disease_name,disease_type
Chlamydia,infectious
Type 2 Diabetes Mellitus,metabolic||endocrine
Pleural Effusion,inflammatory||infectious||vascular||others
Irritable Bowel Syndrome (IBS),functional
Diabetes type 1,autoimmune||endocrine
Vohwinkel syndrome,genetic
Gout,metabolic||inflammatory
Lung Cancer,neoplastic
Multiple Myeloma,neoplastic
Phantom Limb Pain,traumatic
Opioid-Induced Constipation,iatrogenic
Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular
Acute Graft-Versus-Host Disease,iatrogenic||inflammatory
Pyoderma gangrenosum,inflammatory
Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic
Asthma,autoimmune||allergic
Legionnaires' Disease,infectious
Cystic Fibrosis,genetic
Antibiotic-associated diarrhea,iatrogenic||infectious
Hemophilia B,genetic
Attention-Deficit Hyperactivity Disorder,psychiatric
Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others
Birth Control Heart Attack,vascular||iatrogenic
Urinary Tract Infection,infectious||inflammatory
Prostate Cancer,neoplastic
Gastroesophageal Reflux Disease||GERD,inflammatory
Thoracic Outlet Syndrome,traumatic||vascular||congenital||others
Onchocerciasis,infectious||parasitic
Depression,psychiatric
Opioid Addiction,
Ear Infections,infectious||inflammatory
Lyme Disease,infectious
Opiate Dependency,psychiatric||toxic
Duchenne muscular dystrophy,genetic||degenerative
Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular
Allergic Reactions,allergic
Poison Oak Rash,allergic||toxic
Postpartum Depression and Anxiety,psychiatric
Acute Appendicitis,inflammatory
Influenza,infectious||inflammatory
Diabetes Mellitus,metabolic||endocrine
Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others
Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others
Acne,infectious||inflammatory
Periodontal Disease,infectious||inflammatory
Panic Disorder,psychiatric
Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others
Irregular Heart Rhythm,vascular||iatrogenic
Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic
Anxiety Disorders,psychiatric
Fibromyalgia,neurological||metabolic||chronic
Idiopathic Intracranial Hypertension,idiopathic
Absence Seizures,
Situational Anxiety,psychiatric
Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic
Heart Failure,degenerative||vascular||others
COVID-19,infectious
Stomach Cancer,neoplastic
Plaque Psoriasis,inflammatory
Tuberculosis,infectious||inflammatory
Parasitic Infections (Tapeworm),infectious||parasitic
Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory
Metastatic Colorectal Cancer||mCRC,neoplastic
Acute Bacterial Prostatitis,infectious||inflammatory
Secondary Peritonitis,inflammatory
Opioid Use Disorder,
Essential Hypertension,
Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric
Heart Murmur,
Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic
HIV-1 Infection,infectious
Celiac Disease,genetic||autoimmune
Rabies,infectious||inflammatory
Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic
Diabetic Peripheral Neuropathy,metabolic||vascular
Crohn's disease,inflammatory
Osteoarthritis,
Advanced Breast Cancer,neoplastic
Alzheimer's Disease,degenerative
Cancer,neoplastic
Sinus Migraine,inflammatory||idiopathic||others
Major Depressive Disorder,psychiatric
Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative
Cystoid Macular Edema,inflammatory
Preeclampsia,vascular||inflammatory||idiopathic
Acute Intermittent Porphyria,genetic||metabolic
Psoriatic Arthritis||PsA,autoimmune||inflammatory
Bell's palsy,idiopathic||inflammatory||infectious_viral
Sarcopenia,degenerative||nutritional||endocrine||inflammatory
Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory
Peritonitis,infectious||inflammatory
Atrial Fibrillation,vascular||degenerative
Primary Biliary Cholangitis,
Drug Resistant Tuberculosis (DR TB),infectious
Sinus Infection,
Premenstrual Syndrome,
Hypertension,vascular
Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others
Benign Prostatic Hypertrophy (BPH),
Leptospirosis,infectious
