position,nationality,age
,American-born naturalized Azerbaijani,31.0
Guard,Bahamian,32.0
Point Guard,American,27.0
Forward,Cameroonian-American,31.0
Small forward,American-born naturalized Azerbaijani,35.0
Guard,American-born naturalized Australian,33.0
Forward,American-born naturalized,28.0
Small forward,American-born naturalized Azerbaijani,28.0
Forward,Canadian,30.0
Forward,American-born naturalized Azerbaijani,23.0
,British,28.0
Shooting Guard,African-American,28.0
Forward,French,21.0
Backcourt,American,34.0
,American-born naturalized Azerbaijani,25.0
Forward,American-born naturalized Azerbaijani,37.0
forward and sometimes described as a point forward,Greek and Nigerian professional basketball player,30.0
Point Guard,American-born naturalized Azerbaijani,34.0
Center,Dominican-American,38.0
Point Guard,American-born naturalized,25.0
Backcourt,American-born naturalized British,31.0
power forward,American,32.0
Forward,American-Chinese,32.0
Point Guard,American-born naturalized Azerbaijani,23.0
small forward and power forward,American,41.0
Forward,American-born naturalized American,35.0
Power Forward,American,27.0
Point Guard,American-born naturalized American,28.0
,American,21.0
Backcourt,American,39.0
Point Guard,American,62.0
Guard,American-born naturalized Azerbaijani,28.0
Forward,American-born naturalized Cameroonian-American,27.0
Forward,Congolese-American,23.0
Point Guard,American,27.0
Forward,Mexican-American,24.0
,American,22.0
Guard,American,29.0
Shooting Guard,American-born naturalized Cameroonian-American,23.0
Forward,American-born naturalized Nigerian,27.0
Shooting Guard,American-born naturalized Azerbaijani,35.0
,American,37.0
Point Guard,American-born naturalized Azerbaijani,41.0
Forward,American-born naturalized American,36.0
Point Guard,American-born naturalized Azerbaijani,42.0
Point Guard,Serbian,31.0
Forward,American-born naturalized American,74.0
Power Forward,Nigerian-American,30.0
Shooting Guard,American,24.0
Small forward,American-born naturalized American,35.0
Forward,American-born naturalized American,36.0
Backcourt,American,52.0
,American-born naturalized Azerbaijani,28.0
,American-born naturalized Azerbaijani,28.0
Small forward,Greek-American,35.0
,American,23.0
Forward,American,28.0
Point Guard,American,27.0
Shooting Guard,American,25.0
Forward,American-born naturalized Azerbaijani,26.0
Point Guard,American,23.0
Guard,German,31.0
Guard/Forward,American-born naturalized Jewish,60.0
Forward,American,25.0
Center,American-born naturalized Jamaican,32.0
