id,disease_name,disease_type,prognosis
disease_0,Chlamydia,infectious,full_recovery||asymptomatic
disease_1,Type 2 Diabetes Mellitus,metabolic||endocrine,
disease_2,Pleural Effusion,inflammatory||infectious||vascular||others,
disease_3,Irritable Bowel Syndrome (IBS),functional,
disease_4,Diabetes type 1,autoimmune||endocrine,chronic_condition||quality_of_life_impairment
disease_5,Vohwinkel syndrome,genetic,disability||quality_of_life_impairment||stable
disease_6,Gout,metabolic||inflammatory,high_recurrence_risk
disease_7,Lung Cancer,neoplastic,high_mortality||progressive
disease_8,Multiple Myeloma,neoplastic,remission_possible
disease_9,Phantom Limb Pain,traumatic,
disease_10,Opioid-Induced Constipation,iatrogenic,variable
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,high_mortality||full_recovery
disease_12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,high_mortality
disease_13,Pyoderma gangrenosum,inflammatory,
disease_14,Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,
disease_15,Asthma,autoimmune||allergic,
disease_16,Legionnaires' Disease,infectious,full_recovery||low_mortality
disease_17,Cystic Fibrosis,genetic,
disease_18,Antibiotic-associated diarrhea,iatrogenic||infectious,
disease_19,Hemophilia B,genetic,chronic_condition||quality_of_life_impairment
disease_20,Attention-Deficit Hyperactivity Disorder,psychiatric,chronic_condition||quality_of_life_impairment||variable
disease_21,Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,full_recovery||partial_recovery||chronic_condition||variable
disease_22,Birth Control Heart Attack,vascular||iatrogenic,high_mortality||quality_of_life_impairment||variable
disease_23,Urinary Tract Infection,infectious||inflammatory,
disease_24,Prostate Cancer,neoplastic,high_mortality||progressive||quality_of_life_impairment
disease_25,Gastroesophageal Reflux Disease||GERD,inflammatory,chronic_condition||high_recurrence_risk||quality_of_life_impairment
disease_26,Thoracic Outlet Syndrome,traumatic||vascular||congenital||others,chronic_condition
disease_27,Onchocerciasis,infectious||parasitic,
disease_28,Depression,psychiatric,
disease_29,Opioid Addiction,,
disease_30,Ear Infections,infectious||inflammatory,high_recurrence_risk||full_recovery
disease_31,Lyme Disease,infectious,full_recovery||chronic_condition
disease_32,Opiate Dependency,psychiatric||toxic,variable
disease_33,Duchenne muscular dystrophy,genetic||degenerative,high_mortality||progressive||quality_of_life_impairment
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular,high_mortality||disability
disease_35,Allergic Reactions,allergic,
disease_36,Poison Oak Rash,allergic||toxic,
disease_37,Postpartum Depression and Anxiety,psychiatric,
disease_38,Acute Appendicitis,inflammatory,
disease_39,Influenza,infectious||inflammatory,
disease_40,Diabetes Mellitus,metabolic||endocrine,chronic_condition||quality_of_life_impairment||life_threatening
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,chronic_condition||quality_of_life_impairment||variable
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,full_recovery||partial_recovery||chronic_condition||disability||variable
disease_43,Acne,infectious||inflammatory,
disease_44,Periodontal Disease,infectious||inflammatory,
disease_45,Panic Disorder,psychiatric,
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,chronic_condition||progressive||remission_possible||quality_of_life_impairment||variable||unknown
disease_47,Irregular Heart Rhythm,vascular||iatrogenic,high_mortality
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,chronic_condition||quality_of_life_impairment
disease_49,Anxiety Disorders,psychiatric,
disease_50,Fibromyalgia,neurological||metabolic||chronic,chronic_condition||quality_of_life_impairment
disease_51,Idiopathic Intracranial Hypertension,idiopathic,partial_recovery||variable
disease_52,Absence Seizures,,
disease_53,Situational Anxiety,psychiatric,
disease_54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,variable||significant morbidity||occasional mortality
disease_55,Heart Failure,degenerative||vascular||others,variable||chronic_condition
disease_56,COVID-19,infectious,
disease_57,Stomach Cancer,neoplastic,
disease_58,Plaque Psoriasis,inflammatory,
disease_59,Tuberculosis,infectious||inflammatory,
disease_60,Parasitic Infections (Tapeworm),infectious||parasitic,
disease_61,Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,chronic_condition||disability||quality_of_life_impairment||variable
disease_62,Metastatic Colorectal Cancer||mCRC,neoplastic,
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory,
disease_64,Secondary Peritonitis,inflammatory,high_mortality
disease_65,Opioid Use Disorder,,
disease_66,Essential Hypertension,,stable
