position,nationality,age,name,id,player.id
Center,American-born naturalized Jamaican,32.0,andre jamal drummond,,
Forward,Canadian,30.0,andrew christian wiggins,,
Shooting Guard,American,24.0,anthony edwards,,
power forward,American,32.0,anthony marshon davis,,
,American-born naturalized Azerbaijani,31.0,antonius cleveland,,
,American,22.0,ausar xlnc thompson,,
,American-born naturalized Azerbaijani,25.0,austin tyler reaves,,
Point Guard,American,27.0,brandon goodwin,,
Point Guard,American-born naturalized Azerbaijani,23.0,cade parker cunningham,,
Small forward,American-born naturalized Azerbaijani,28.0,caleb martin,,
Shooting Guard,American-born naturalized Azerbaijani,35.0,carrick felix,,
Guard,Bahamian,32.0,"chavano rainer ""buddy"" hield",,
Point Guard,American,27.0,d'angelo russell,,
Guard,American-born naturalized Azerbaijani,28.0,devin armani booker,,
Forward,American,28.0,devontae cacok,,
,American-born naturalized Azerbaijani,28.0,donta hall,,
Backcourt,American-born naturalized British,31.0,duncan mcbryde robinson,,
Forward,American-born naturalized Nigerian,27.0,"edrice femi ""bam"" adebayo",,
forward and sometimes described as a point forward,Greek and Nigerian professional basketball player,30.0,giannis sina ugo antetokounmpo,,
,American,23.0,jabari dominic walker,,
,American,21.0,jaden edward dhananjay ivey,,
Power Forward,Nigerian-American,30.0,jahlil okafor,,
Forward,Mexican-American,24.0,jaime jaquez,,
Guard,American,29.0,jalen marquis brunson,,
Shooting Guard,American,25.0,jamal crawford,,
Point Guard,American-born naturalized Azerbaijani,41.0,jarrett jack,,
Shooting Guard,African-American,28.0,jaylen marselles brown,,
Forward,American-born naturalized,28.0,jayson christopher tatum,,
Forward,American-born naturalized American,35.0,jimmy butler,,
Forward,Cameroonian-American,31.0,joel hans embiid,,
Forward,Congolese-American,23.0,jonathan malangu kuminga,,
Backcourt,American,34.0,jrue randall holiday,,
Forward,American-born naturalized Azerbaijani,26.0,kermit washington,,
Small forward,American-born naturalized American,35.0,kevin wayne durant,,
Forward,American-born naturalized Azerbaijani,37.0,kevin wesley love,,
Power Forward,American,27.0,kevon grant looney,,
Shooting Guard,American-born naturalized Cameroonian-American,23.0,kobe bean bryant,,
Small forward,Greek-American,35.0,kostas papanikolaou,,
Forward,American-Chinese,32.0,kyle forman anderson,,
Backcourt,American,39.0,kyle terrell lowry,,
Guard,American-born naturalized Australian,33.0,kyrie andrew irving,,
,American-born naturalized Azerbaijani,28.0,lamar brandon stevens,,
Forward,American-born naturalized American,36.0,lavoy allen,,
small forward and power forward,American,41.0,lebron raymone james,,
Point Guard,American,27.0,lonzo anderson ball,,
Forward,American-born naturalized Azerbaijani,23.0,max berning fiedler,,
Point Guard,American,23.0,michael carter-williams,,
Point Guard,American,62.0,michael jeffrey jordan,,
,American,37.0,mychel thompson,,
,British,28.0,"ogugua ""og"" anunoby",,
Small forward,American-born naturalized Azerbaijani,35.0,paul clifton anthony george,,
Backcourt,American,52.0,shawn christopher respert,,
Forward,American,25.0,trayce jackson-davis,,
Point Guard,American-born naturalized,25.0,tyler christopher herro,,
Forward,French,21.0,victor wembanyama,,
Point Guard,American-born naturalized Azerbaijani,34.0,wardell stephen curry,,
Forward,American-born naturalized Cameroonian-American,27.0,zach collins,,
Point Guard,American-born naturalized American,28.0,zachary thomas lavine,,
