id,description.disease_name,description.disease_type
disease_0,Chlamydia,infectious||None
disease_1,Type 2 Diabetes Mellitus,metabolic||endocrine||inflammatory
disease_2,Pleural Effusion,infectious||vascular||others
disease_3,Irritable Bowel Syndrome (IBS)||disease_type,
disease_4,Diabetes type 1,autoimmune||endocrine_disorder
disease_5,Vohwinkel syndrome,genetic||None
disease_6,Gout,metabolic||inflammatory
disease_7,Lung Cancer,neoplastic||genetic
disease_8,Multiple Myeloma,neoplastic
disease_9,Phantom Limb Pain,traumatic
disease_10,Opioid-Induced Constipation,iatrogenic
disease_11,Rocky Mountain Spotted Fever,infectious||inflammatory||vascular
disease_12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory
disease_13,Pyoderma gangrenosum,inflammatory
disease_14,Herpes Simplex Virus Infection,infectious||genetic
disease_15,Asthma,autoimmune||allergic
disease_16,Legionnaires' Disease,infectious||bacterial
disease_17,Cystic Fibrosis,genetic||None
disease_18,Antibiotic-associated diarrhea,iatrogenic
disease_19,Hemophilia B,genetic||None
disease_20,Attention-Deficit Hyperactivity Disorder,psychiatric
disease_21,Microcytic Anemia,genetic||nutritional||toxic||inflammatory||others
disease_22,Birth Control Heart Attack,vascular||iatrogenic
disease_23,Urinary Tract Infection,infectious||inflammatory
disease_24,Prostate Cancer,neoplastic
disease_25,Gastroesophageal Reflux Disease||GERD,inflammatory||congenital
disease_26,Thoracic Outlet Syndrome,vascular||traumatic||congenital||others
disease_27,Onchocerciasis,infectious||parasitic
disease_28,Depression,psychiatric
disease_29,Opioid Addiction,
disease_30,Ear Infections,infectious||inflammatory
disease_31,Lyme Disease,infectious||None
disease_32,Opiate Dependency,toxic
disease_33,Duchenne muscular dystrophy,genetic||degenerative
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular
disease_35,Allergic Reactions,allergic||None
disease_36,Poison Oak Rash,allergic||toxic
disease_37,Postpartum Depression and Anxiety,psychiatric
disease_38,Acute Appendicitis,infectious||None
disease_39,Influenza,infectious||inflammatory
disease_40,Diabetes Mellitus,metabolic||endocrine
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||other
disease_42,Low Back Pain,degenerative||inflammatory||traumatic||neoplastic||idiopathic||others
disease_43,Acne,infectious||inflammatory
disease_44,Periodontal Disease,infectious||inflammatory||traumatic
disease_45,Panic Disorder,autoimmune||inflammatory
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious_viral||neoplastic||others
disease_47,Irregular Heart Rhythm,iatrogenic
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,infectious_viral||psychiatric||idiopathic
disease_49,Anxiety Disorders,psychiatric
disease_50,Fibromyalgia,autoimmune||metabolic||None
disease_51,Idiopathic Intracranial Hypertension,idiopathic||others
disease_52,Absence Seizures,
disease_53,Situational Anxiety,
disease_54,Immune Reconstitution Syndrome (IRS),infectious||iatrogenic
disease_55,Heart Failure,degenerative||vascular||others
disease_56,COVID-19,infectious
disease_57,Stomach Cancer,neoplastic
disease_58,Plaque Psoriasis,inflammatory
disease_59,Tuberculosis,infectious||inflammatory
disease_60,Parasitic Infections (Tapeworm),infectious_parasitic
disease_61,Systemic Lupus Erythematosus,autoimmune||inflammatory
disease_62,Metastatic Colorectal Cancer,
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory
disease_64,Secondary Peritonitis,inflammatory||None
disease_65,Opioid Use Disorder,
disease_66,Essential Hypertension,
disease_67,Huntington's disease,genetic||degenerative
disease_68,Heart Murmur,
disease_69,Charcot Neuropathic Osteoarthropathy,metabolic||inflammatory||degenerative||traumatic||vascular||idiopathic
disease_70,HIV-1 Infection,infectious||viral
disease_71,Celiac Disease,autoimmune||genetic
disease_72,Rabies,infectious||inflammatory
disease_73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic
disease_74,Diabetic Peripheral Neuropathy,metabolic||vascular
disease_75,Crohn's disease,inflammatory
disease_76,Osteoarthritis,degenerative||inflammatory
disease_77,Advanced Breast Cancer,
disease_78,Alzheimer's Disease,degenerative||genetic||None
disease_79,Cancer,neoplastic||autoimmune
disease_80,Sinus Migraine,inflammatory||idiopathic||None
disease_81,Major Depressive Disorder,psychiatric||None
disease_82,Peripheral Arterial Disease,vascular||degenerative
disease_83,Cystoid Macular Edema,inflammatory||autoimmune||vascular
disease_84,Preeclampsia,vascular||inflammatory||idiopathic||autoimmune||genetic
disease_85,Acute Intermittent Porphyria,genetic||metabolic
disease_86,Psoriatic Arthritis,autoimmune||inflammatory
disease_87,Bell's palsy,infectious||inflammatory||idiopathic
disease_88,Sarcopenia,degenerative||nutritional_deficiency||endocrine_disorder||inflammatory
disease_89,Advanced Non-Small Cell Lung Cancer,neoplastic||inflammatory
disease_90,Peritonitis,infectious||inflammatory
disease_91,Atrial Fibrillation,vascular
disease_92,Primary Biliary Cholangitis,autoimmune||inflammatory
disease_93,Drug Resistant Tuberculosis (DR TB),infectious||bacterial
disease_94,Sinus Infection,infectious
disease_95,Premenstrual Syndrome,
disease_96,Hypertension,vascular||None
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others
disease_98,Benign Prostatic Hypertrophy (BPH)||disease_type,
disease_99,Leptospirosis,infectious||None
