id,disease_name,disease_type,common_symptoms,treatments
disease_0,Chlamydia,infectious,unusual vaginal discharge||pain or burning sensation during urination||frequent urination||bleeding between periods||bleeding after sex||grey or pale yellow discharge||pain during sex||problems with urination||abdominal pain||pain during sex||pain during urination||unusually painful or heavy periods||unusual discharge (may be green or yellow)||severe pain in the abdomen||fever||nausea||vomiting,oral_medication||injection
disease_2,Pleural Effusion,inflammatory||infectious||vascular||others,shortness of breath||chest pain,oral_medication||other
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,rash||fever||hyponatremia,oral_medication
disease_14,Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,cold sores,
disease_16,Legionnaires' Disease,infectious,fever||gastrointestinal issues||chest pain||shortness of breath||confusion,oral_medication
disease_18,Antibiotic-associated diarrhea,iatrogenic||infectious,loose bowel motion||diarrhea,dietary_intervention
disease_23,Urinary Tract Infection,infectious||inflammatory,inability to urinate||straining while trying to urinate||cloudy urine||bloody urine||excessive licking of the genital area||back pain||vomiting,oral_medication
disease_27,Onchocerciasis,infectious||parasitic,skin itching||vision impairment,oral_medication
disease_30,Ear Infections,infectious||inflammatory,pain||fussiness||reduced appetite||picking at ears,oral_medication||lifestyle_modification||others
disease_31,Lyme Disease,infectious,,oral_medication
disease_39,Influenza,infectious||inflammatory,fever||difficulty breathing||vomiting||dehydration||dry lips||sunken eyes||listless||not eating,vaccination||oral_medication
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,lower_back_pain||tenderness||diffuse_pain||coordination_impairment||bladder_control_loss||bowel_control_loss||sleep_disturbance,oral_medication||physical_therapy||lifestyle_modification||surgery||injection||dietary_intervention
disease_43,Acne,infectious||inflammatory,,oral_medication||lifestyle_modification
disease_44,Periodontal Disease,infectious||inflammatory,bleeding from the gums||bone loss||excessive tooth mobility||gum recession||exudate pus||clear fluid along or under the gumline,surgery||oral_medication
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,"unilateral facial pain||paroxysmal pain||sudden severe pain||sharp pain||stabbing pain||burning pain||shooting pain||electric shock-like pain||pain triggered by touch, eating, washing, shaving, brushing teeth, or talking||pain intensifies over time||pain spreads to larger areas of the face||background dull aching pain||continuous pain||wincing",oral_medication||surgery||physical_therapy||psychotherapy||others
disease_54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,fever||dyspnea||abdominal pain||diarrhea||headache||weakness||lymphadenitis||subcutaneous nodules||abnormal skin lesions,oral_medication||injection
disease_56,COVID-19,infectious,,oral_medication
disease_59,Tuberculosis,infectious||inflammatory,prolonged cough||coughing up blood,
disease_60,Parasitic Infections (Tapeworm),infectious||parasitic,gastrointestinal disturbances||abdominal pain||nausea||vomiting||dizziness||headache||fever||hair loss,oral_medication
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory,fever||chills||body aches||back pains||urination problems,oral_medication
disease_70,HIV-1 Infection,infectious,,oral_medication
disease_72,Rabies,infectious||inflammatory,hydrophobia||fever||headache||sore throat||pain while drinking water,injection
disease_73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic,fever||headaches||joint pains||itching||disruption of sleep/wake patterns,oral_medication||injection
disease_90,Peritonitis,infectious||inflammatory,generalized abdominal pain||decreased appetite||left chest pain||pressure||tenderness||positive rebound,injection
disease_93,Drug Resistant Tuberculosis (DR TB),infectious,cough||weakness,oral_medication
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others,bloating||gas||diarrhoea||stomach pain||nausea,lifestyle_modification||dietary_intervention
disease_99,Leptospirosis,infectious,vomiting||fever||abdominal tenderness||diarrhea||diminished appetite||physical weakness,oral_medication
