query_id,query_text,nl_query,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,relative_error,error
S1,"SELECT area, city_name, gdp FROM city","What is the name, geographic area, and GDP of each NBA home city mentioned in the documents?",True,DOCETL_MAP_SQLITE,89.1370017528534,29,535765,1093,536858,0.3218390804597701,0.3218390804597701,0.3218390804597701,29,27,False,,
S2,"SELECT nba_team, name, own_year FROM owner","For each NBA team owner described in the documents, what is their name, which team do they own, and what year did they acquire ownership?",True,DOCETL_MAP_SQLITE,17.581629276275635,16,47333,595,47928,0.4791666666666667,0.4791666666666667,0.4791666666666667,16,8,False,,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78","What is the name, state, and geographic area of each NBA home city?",True,DOCETL_MAP_SQLITE,88.56532216072083,0,535562,1065,536627,0.0,0.0,0.0,1,0,False,,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642","What is the name, state, and geographic area of each city where an NBA team is based?",True,DOCETL_MAP_SQLITE,94.79986786842346,1,536171,1348,537519,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,False,,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'","For each NBA team owner, what is their name, age, and which team do they own?",True,DOCETL_MAP_SQLITE,17.01284885406494,15,47125,577,47702,0.7333333333333334,0.7333333333333334,0.7333333333333334,15,14,False,,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66","What is each NBA team owner's name, age, and which team do they own?",True,DOCETL_MAP_SQLITE,16.978047609329224,7,47093,583,47676,0.625,0.7142857142857143,0.5555555555555555,9,6,False,,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0","For each NBA player, how many MVP awards have they won, what was their draft pick number, and how many FIBA World Cup titles have they earned?",True,DOCETL_MAP_SQLITE,256.73303747177124,121,885459,7158,892617,0.0,0.0,0.0,121,0,False,,
F14,"SELECT position, nationality, age FROM player WHERE age < 91","What is each NBA player's playing position, nationality, and age?",True,DOCETL_MAP_SQLITE,239.38461637496948,119,876109,6175,882284,0.0,0.0,0.0,126,0,False,,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '","For each NBA team, what is its name, founding year, and who currently owns it?",True,DOCETL_MAP_SQLITE,88.19067001342773,29,459453,1520,460973,0.6792452830188679,0.6206896551724138,0.75,24,22,False,,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989","For each NBA team, who owns it, how many championships has it won, and when was it founded?",True,DOCETL_MAP_SQLITE,78.21692681312561,18,459569,1074,460643,0.0,0.0,0.0,25,0,False,,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position","For each NBA player, what is their playing position and how many Olympic gold medals have they won?",True,DOCETL_MAP_SQLITE,811.842615365982,11,879475,5063,884538,,,,3,,True,1.0,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position","For each NBA player, what is their playing position and age?",True,DOCETL_MAP_SQLITE,207.24780774116516,17,872398,4612,877010,,,,3,,True,1.0,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their age, how many Olympic gold medals have they won, which team do they play for, how many championships has that team won, and where is the team based?",True,DOCETL_MAP_SQLITE,296.6983160972595,19,1342862,6453,1349315,0.0,0.0,0.0,88,0,False,,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their name, which team do they currently play for, and when was that team founded?",True,DOCETL_MAP_SQLITE,300.20074582099915,56,1336627,6521,1343148,0.6284722222222222,0.8080357142857143,0.5142045454545454,88,48,False,,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position","For each NBA player, what is their playing position and how many Olympic gold medals have they won? Also note which team they play for.",True,DOCETL_MAP_SQLITE,472.64636731147766,14,1341273,13870,1355143,,,,3,,True,1.0,
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position","For each NBA player, what is their playing position, how many Olympic gold medals have they won, which team do they play for, who owns the team, and what city is the team in?",True,DOCETL_MAP_SQLITE,456.06569385528564,2,1926293,10418,1936711,,,,2,,True,1.0,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,DOCETL_MAP_SQLITE,16.706629514694214,3,47045,556,47601,,,,3,,True,0.8422651256500548,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality","For each NBA player, what is their name, nationality, and how many NBA championships have they won?",True,DOCETL_MAP_SQLITE,234.20964312553406,8,881379,6114,887493,,,,23,,True,0.7094517958412098,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality","For each NBA player, what is their nationality, how many Olympic gold medals have they won, and which team do they play for?",True,DOCETL_MAP_SQLITE,966.6620166301727,1,1367331,9837,1377168,,,,3,,True,1.0,
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality","For each NBA player, what is their nationality, how many MVP awards have they won, who owns their team, and what city does the team play in?",True,DOCETL_MAP_SQLITE,400.93012595176697,0,1922192,7970,1930162,,,,1,,True,1.0,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,DOCETL_MAP_SQLITE,16.375625133514404,3,47045,553,47598,,,,3,,True,1.0043655590437512,
