company_id,cik,ticker,name,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type
0000320193,0000320193,AAPL,Apple Inc.,3571,Electronic Computers,CA,0926,operating
0000789019,0000789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,WA,0630,operating
0001018724,0001018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,DE,1231,operating
0001652044,0001652044,GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",DE,1231,operating
0000019617,0000019617,JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks,DE,1231,operating
0000034088,0000034088,XOM,EXXON MOBIL CORP,2911,Petroleum Refining,NJ,1231,operating
0000200406,0000200406,JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,NJ,0103,operating
0000104169,0000104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,DE,0131,operating
0001045810,0001045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,DE,0131,operating
0001318605,0001318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,TX,1231,operating
