founded_year,ownership,team_name
1946,Atlanta Spirit LLC,Atlanta Hawks
1946,Steve Kerr,Golden State Warriors
1967,Tilman Fertitta,Houston Rockets
1967,Pacers Sports & Entertainment,Indiana Pacers
1970,Steve Ballmer,Los Angeles Clippers
1946,Jeanie Buss,Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,Carnival Cruise Lines,Miami Heat
1968,Edens and Lasry,Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2013,Tom Benson,Pelicans
1946,Boston Basketball Partners L.L.C.,Boston Celtics
1946,James Dolan,New York Knicks
1967,$310 million,Oklahoma City Thunder
1986,DeVos family,Orlando Magic
1946,Apollo Global Management,Philadelphia 76ers
1968,Mat Ishbia,Phoenix Suns
1970,Vulcan Inc.,Portland Trail Blazers
1985,Dyal Capital,Sacramento Kings
1967,Peter M. Holt and a group of 22 investors,San Antonio Spurs
1995,Maple Leaf Sports & Entertainment (MLSE),Toronto Raptors
1974,"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",Utah Jazz
2004,Ratner group,Brooklyn Nets
1973,Monumental Sports & Entertainment,Wizards
1985,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1966,Rocky Wirtz,Chicago Bulls
1970,Dan Gilbert since March 2005,Cleveland Cavaliers
1980,Miriam Adelson and Patrick Dumont,Dallas Mavericks
1967,Stan Kroenke,Denver Nuggets
1937,Tom Gores,Detroit Pistons
