Name,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework
2401.01511v1_Enhancing-Multilingual-Information-Retrieval-in-Mixed-Human-Resources-Environments-A-RAG-Model-Imple.pdf,Retrieval-Augmented Generation,No,single-hop,GPT-3; LLaMA2; LAMBADA; PALM,,GPT-3; GPT-3.5; GPT-4; LLaMA2; LAMBADA; PALM,No,Text; Audio,Internal HR and QA documents; 1000 internal test questions,Coherence; Relevance; Hallucination; Calculation Efficacy; Response Time; Accuracy; Speed; Cost; Context Retention; Processing Time,Other,No,
2401.06800v1_Reinforcement-Learning-for-Optimizing-RAG-for-Domain-Chatbots.pdf,Retrieval-Augmented Generation,No,multi-hop,All fetch,Dense Retrieval,gpt-35-turbo-16k-0613,No,Text,"['a chat session’s sequence of 25 queries', 'a dataset of 30 in-domain and 30 OOD queries', 'an extensive test chat session of 91 queries']",top-1 accuracy; top-3 accuracy; Accuracy,Finance,Yes,other
2401.08406v3_RAG-vs-Fine-tuning-Pipelines-Tradeoffs-and-a-Case-Study-on-Agriculture.pdf,Retrieval-Augmented Generation,No,single-hop,Llama2-13B-chat; Vicuna-13B-v1.5-16k; GPT-4,Dense Retrieval; Sparse Retrieval,Llama2-13B; GPT-4; Llama2-13B-chat; Vicuna-13B-v1.5-16k; GPT-3; GPT-3.5,No,"['Text', 'Table', 'Image']",Washington state agriculture documents; 500 Questions 500 Answers - Embrapa/SCT; Farmer advisory (KVK Q&A portal); Vikaspedia,Accuracy; Succinctness; Correctness; Recall; Relevance; Coverage; Overlap; Diversity; Fluency; Coherence; Groundedness,Agriculture,No,
2401.11246v1_Prompt-RAG-Pioneering-Vector-Embedding-Free-Retrieval-Augmented-Generation-in-Niche-Domains-Exemplif.pdf,Retrieval-Augmented Generation,No,single-hop,ChatGPT-3.5; ChatGPT-4; C50-V300; C100-V150,other; Dense Retrieval,GPT-4-0613; GPT-3.5-turbo-16k-0613; GPT-3.5; GPT-4,Yes,Text,Introduction to Current Korean Medicine,Relevance; Readability; Informativeness; Response time,Medical,No,
2401.15378v5_A-RAG-based-Question-Answering-System-Proposal-for-Understanding-Islam-MufassirQAS-LLM.pdf,Retrieval-Augmented Generation,No,single-hop,ChatGPT,Hybrid Retrieval,ChatGPT-3.5 Turbo,Yes,Text,,,Religion,No,
2402.07016v1_REALM-RAG-Driven-Enhancement-of-Multimodal-Electronic-Health-Records-Analysis-via-Large-Language-Mod.pdf,Retrieval-Augmented Generation,Yes,single-hop,M3Care; MPIM; UMM; VecoCare; GRAM; KAME; CGL; KerPrint,Dense Retrieval,Qwen-7B,No,Text; Table,MIMIC-III,"AUROC; AUPRC; min(+P, Se); F1",Healthcare,No,
2402.16893v1_The-Good-and-The-Bad-Exploring-Privacy-Issues-in-Retrieval-Augmented-Generation-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,LLM alone (None); Random Noise+prompt; System Prompt+prompt,Dense Retrieval,Llama-7b-chat; Llama-13b-chat; GPT-3.5-turbo; GPT-Neo-1.3B,Yes,Text,Enron Email; HealthcareMagic-101; wikitext-103; w3c-email,ROUGE-L; Perplexity,Medical; Business,No,
2403.01193v3_RAGged-Edges-The-Double-Edged-Sword-of-Retrieval-Augmented-Chatbots.pdf,Retrieval-Augmented Generation,No,single-hop,Standard LLM (no context),other,gpt-3.5-turbo-16k-0613,No,Text,Custom dataset of academic CVs,Hallucinations; Partial; Accurate; Unhelpful,General,No,null
2403.11413v1_Dynamic-Contexts-for-Generating-Suggestion-Questions-in-RAG-Based-Conversational-Systems.pdf,Retrieval-Augmented Generation,No,single-hop,Zero-Shot; Few-Shot; Dynamic Few-Shot,Dense Retrieval,ChatGPT; GPT-4; Claude2,No,Text,Pamper’s Baby Sleep Coach blog posts,Manual Correctness Count; Preference Benchmarking,Childcare,Yes,Other
2403.14374v1_FIT-RAG-Black-Box-RAG-with-Factual-Information-and-Token-Reduction.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,Llama2-13B-Chat,Yes,Text,TriviaQA; NaturalQuestions; PopQA,,,Yes,
2404.00610v1_RQ-RAG-Learning-to-Refine-Queries-for-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,multi-hop,Llama2-7B (Zero Shot); Llama2-7B-Chat (Zero Shot); Llama2-7B (SFT on Single Hop QA); Llama2-7B (SFT on No Augmented Set); SAIL-7B; Self-RAG-7B; Chain-of-Thought; Chain-of-Note; Llama2-7B (SFT on Multi Hop QA),Web Search; Sparse Retrieval; Dense Retrieval,Llama2-7B; GPT-3.5-Turbo; GPT-4,No,Text,Arc-Challenge; PopQA; OpenbookQA; HotpotQA; 2WikiMultiHopQA; Musique,Accuracy; Match Score; F1,General,Yes,ToT
2404.07221v2_Improving-Retrieval-for-RAG-based-Question-Answering-Models-on-Financial-Documents.pdf,Retrieval-Augmented Generation,No,single-hop,base RAG; Fake RAG,Dense Retrieval,GPT-4o,Yes,Text; Table,FinanceBench,page-level accuracy; paragraph-level accuracy; Context Relevance; BLEU; Rouge-L Score; cosine similarity; LLM evaluation; Answer faithfulness,Finance,No,
2404.12309v2_iRAG-Advancing-RAG-for-Videos-with-an-Incremental-Approach.pdf,Retrieval-Augmented Generation,No,single-hop,traditional RAG,Dense Retrieval,gpt-3.5-turbo,Yes,Video; Image; Text,VQA-v2; MSR-VTT; StreetAware; Tokyo MODI,recall@k; Preprocessing Time; query processing time,Surveillance; Law Enforcement; Healthcare; Transportation,Yes,Other
2404.15939v3_Telco-RAG-Navigating-the-Challenges-of-Retrieval-Augmented-Language-Models-for-Telecommunications.pdf,Retrieval-Augmented Generation,No,single-hop,"['Benchmark RAG', 'GPT 3.5 without RAG']",Dense Retrieval,GPT-3.5,No,Text,TeleQnA,Accuracy,Telecommunications,No,
2405.00449v1_RAG-based-Explainable-Prediction-of-Road-Users-Behaviors-for-Automated-Driving-using-Knowledge-Graph.pdf,Retrieval-Augmented Generation,Yes,single-hop,C3D; PCPA; Decision Tree; Fuzzy logic; eP2P; Ours Black Box; models from [46]; models from [47],Graph-based Retrieval; Dense Retrieval,GPT-4,No,Text,JAAD; PSI; HighD,F1-score; Precision; Recall; Accuracy,Autonomous Driving,No,
2405.01310v1_Overcoming-LLM-Challenges-using-RAG-Driven-Precision-in-Coffee-Leaf-Disease-Remediation.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,GPT-3.5,No,Image; Text,"['Coffee Leaf Diseases YOLO', 'open-source datasets', 'real-time pictures of diseased coffee leaves']",,Agriculture,No,
2405.02816v1_Stochastic-RAG-End-to-End-Retrieval-Augmented-Generation-through-Expected-Utility-Maximization.pdf,Retrieval-Augmented Generation,No,multi-hop,"RAG; DPR + FiD; KGI; Re2G; Hindsight; SEAL + FiD; Re3val; GripRank; PLATO; FiD-Light (T5-Base, k = 64); FiD-Light (T5-XL, k = 8)",Dense Retrieval,T5v1.1; T5-Base; T5-XL,Yes,Text,Natural Questions (NQ); TriviaQA; HotpotQA; FEVER; T-REx; zsRE; Wizard of Wikipedia (WoW),KILT-EM; KILT-AC; KILT-F1; R-Precision,General,No,
2405.03085v1_Compressing-Long-Context-for-Enhancing-RAG-with-AMR-based-Concept-Distillation.pdf,Retrieval-Augmented Generation,No,single-hop,Vanilla; Keywords; Summary; SelCon,,GPT-Neo-1.3B; GPT-Neo-2.7B; OPT-1.3b; OPT-2.7b; bloom-560m; bloom-1b1; bloom-1b7; bloom-3b; LLaMA-2-7b-chat-hf; LLaMA-2-13b-chat-hf,No,Text,PopQA; EntityQuestions,Accuracy; Integration,Open-domain,No,
2405.12035v1_KG-RAG-Bridging-the-Gap-Between-Knowledge-and-Creativity.pdf,Retrieval-Augmented Generation,Yes,,Embedding-RAG; MHQA-GRN,Graph-based Retrieval,GPT-4 Turbo 1106-Preview,Yes,Text,ComplexWebQuestions,EM; F1; Accuracy; Hallucination,General,Yes,Other
2405.12363v2_Question-Based-Retrieval-using-Atomic-Units-for-Enterprise-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,Standard RAG; HyDE,Dense Retrieval,,No,Text,SQuAD; BiPaR,R@1; R@2; R@5; nDCG,General,No,
2405.13084v2_The-2nd-FutureDial-Challenge-Dialog-Systems-with-Retrieval-Augmented-Generation-FutureDial-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,GPT-based pretrained language model,No,Text,MobileCS2,recall@1; recall@5; recall@20; BLEU-4; BERTScore; Inform Rate,Customer Service,No,
2405.15556v1_Certifiably-Robust-RAG-against-Retrieval-Corruption.pdf,Retrieval-Augmented Generation,No,single-hop,No RAG; Vanilla RAG,Web Search,Mistral-7B-Instruct; Llama2-7B-Chat; GPT-3.5-turbo,No,Text,RealtimeQA-MC; RealtimeQA; Natural Questions; Biography generation dataset (Bio),accuracy (acc); certifiable accuracy (cacc); LLM-as-a-judge (llmj); certifiable LLM-judge scores (cllmj); robust accuracy (racc); robust LLM-judge score (rllmj); attack success rate (asr),General,No,
2405.18414v1_Dont-Forget-to-Connect-Improving-RAG-with-Graph-based-Reranking.pdf,Retrieval-Augmented Generation,No,multi-hop,w/o reranker; BART; BART-GST; RGCN-S; MLP; GCN; PaLM 2 XS; PaLM 2 L,Dense Retrieval,,Yes,Text,Natural Questions; TriviaQA,MRR; MHits@10; MTRR; TMHits@10,General,No,
2405.19207v1_A-Multi-Source-Retrieval-Question-Answering-Framework-Based-on-RAG.pdf,Retrieval-Augmented Generation,No,multi-hop,No-RAG; SR-RAG; FL-RAG; FLARE; FS-RAG,Web Search; other,LLaMa2-7B-Chat,No,Text,2WikiMultiHopQA; HotpotQA; StrategyQA,F1; EM; Accuracy,General,No,
2406.05794v3_RE-RAG-Improving-Open-Domain-QA-Performance-and-Interpretability-with-Relevance-Estimator-in-Retriev.pdf,Retrieval-Augmented Generation,No,single-hop,RAG; FiDbase; FiDlarge; FiD-KDbase; FiD-KDlarge; ReAtt; R2-D2; Self-RAG; RA-DIT; Codex + REPLUG LSR; FiD-KD retriever,Dense Retrieval,T5; Flan-T5; Llama2; Llama3; ChatGPT,Yes,Text,Natural Questions; TriviaQA,EM; Accuracy; F1; Recall; Precision,General,No,
