query_id,query_text,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,error
S1,"SELECT area, city_name, gdp FROM city",True,cache_hit,0.12788724899291992,29,0,0,0,0.5287356321839081,0.5287356321839081,0.5287356321839081,29,28,False,
S2,"SELECT nba_team, name, own_year FROM owner",True,cache_hit,0.24524664878845215,16,0,0,0,0.7708333333333334,0.7708333333333334,0.7708333333333334,16,15,False,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78",True,cache_hit,0.1649305820465088,0,0,0,0,0.0,0.0,0.0,1,0,False,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642",True,row_delta,131.76884198188782,0,829375,9233,838608,0.0,0.0,0.0,1,0,False,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'",True,row_delta,93.63262701034546,15,450151,8084,458235,0.7555555555555555,0.7555555555555555,0.7555555555555555,15,14,False,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66",True,row_delta,493.0434272289276,9,2851902,38875,2890777,0.7407407407407408,0.7407407407407408,0.7407407407407408,9,8,False,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0",False,error,1280.4858837127686,0,6927479,85790,7013269,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
F14,"SELECT position, nationality, age FROM player WHERE age < 91",False,error,0.11256217956542969,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '",True,row_delta,39.65432143211365,30,140505,4792,145297,0.5802469135802469,0.5222222222222221,0.6527777777777777,24,22,False,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989",True,cache_hit,0.06396174430847168,25,0,0,0,0.48,0.48,0.48,25,23,False,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position",False,error,0.09582710266113281,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position",False,error,0.24234223365783691,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name",False,error,0.23702025413513184,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name",True,join_alignment,1.0772361755371094,80,265,4,269,0.6696428571428571,0.703125,0.6392045454545455,88,65,False,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position",False,error,0.10793209075927734,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position",False,error,0.15723872184753418,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality",True,row_delta,434.2409315109253,3,2381739,35872,2417611,0.324791192103265,0.324791192103265,0.324791192103265,3,1,True,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality",True,row_delta,1279.8945682048798,17,6927479,85652,7013131,0.6663400116144018,0.783929425428708,0.5794260970560017,23,14,True,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality",False,error,1283.3049643039703,0,6927744,85796,7013540,0.0,0.0,0.0,0,0,False,"SQL execution failed: (sqlite3.OperationalError) no such column: player.olympic_gold_medals
[SQL: SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality]
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality",True,row_delta,45.0558648109436,0,263410,3306,266716,0.0,0.0,0.0,1,0,True,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality",True,row_delta,2.08182954788208,3,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,True,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team",False,error,1322.705629825592,0,7036485,89177,7125662,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality",False,error,1310.6690111160278,0,6927479,89509,7016988,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0",False,error,0.4475836753845215,0,265,4,269,0.0,0.0,0.0,0,0,False,"SQL execution failed: (sqlite3.OperationalError) no such column: player.draft_pick
[SQL: SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0]
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522",False,error,2.1476078033447266,0,0,0,0,0.0,0.0,0.0,0,0,False,"Delta execution failed: the JSON object must be str, bytes or bytearray, not list"
