name,position,city_name,population
Paul George,Shooting Guard,Indianapolis,887642.0
Duncan McBryde Robinson,,Miami,442241.0
Jayson Tatum,,Boston,691531.0
Zach LaVine,Point guard,Chicago,501700000.0
Kyle Forman Anderson,,San Francisco,808988.0
D'Angelo Russell,Point guard,Los Angeles,3979576.0
Jimmy Butler,,Miami,442241.0
Devin Booker,Sophomore guard,Phoenix,48118.0
Tim Duncan,Power Forward,San Antonio,1200000.0
Draymond Jamal Green,Forward,San Francisco,808988.0
Jaylen Brown,,Boston,691531.0
Stephen Curry,Point guard,San Francisco,808988.0
Kyle Lowry,,Miami,442241.0
Austin Tyler Reaves,,Los Angeles,3979576.0
Jonathan Malangu Kuminga,,San Francisco,808988.0
Tyler Herro,Shooting guard,Miami,442241.0
Kevin Love,,Miami,442241.0
Dino Rađa,,Boston,691531.0
Bryant,,Los Angeles,3979576.0
Lamar Stevens,,Memphis,71000.0
Shaun Livingston,,San Francisco,808988.0
