disease_name,pathogenesis,prognosis
Chlamydia,infectious_bacterial,full_recovery||asymptomatic
Type 2 Diabetes Mellitus,metabolic_disorder||endocrine_disorder||inflammatory,
Pleural Effusion,inflammatory||infectious_bacterial||vascular||other,
Irritable Bowel Syndrome (IBS),,
Diabetes type 1,autoimmune||endocrine_disorder,chronic_condition||quality_of_life_impairment
Vohwinkel syndrome,genetic_mutation,disability||quality_of_life_impairment||stable
Gout,metabolic_disorder||inflammatory,high_recurrence_risk
Lung Cancer,genetic_mutation||neoplastic,high_mortality||progressive
Multiple Myeloma,neoplastic,remission_possible
Phantom Limb Pain,traumatic,
Opioid-Induced Constipation,iatrogenic,variable
Rocky Mountain Spotted Fever||RMSF,infectious_bacterial||inflammatory||vascular,high_mortality||full_recovery
Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,high_mortality
Pyoderma gangrenosum,inflammatory,
Herpes Simplex Virus Infection||cold sores||genital herpes,infectious_viral||genetic_mutation,
Asthma,autoimmune||allergic,
Legionnaires' Disease,infectious_bacterial,full_recovery||low_mortality
Cystic Fibrosis,genetic_mutation,
Antibiotic-associated diarrhea,iatrogenic,
Hemophilia B,genetic_mutation,chronic_condition||quality_of_life_impairment
Attention-Deficit Hyperactivity Disorder,,chronic_condition||quality_of_life_impairment||variable
Microcytic Anemia,genetic_mutation||nutritional_deficiency||inflammatory||toxic||other,full_recovery||partial_recovery||chronic_condition||variable
Birth Control Heart Attack,vascular||iatrogenic,high_mortality||quality_of_life_impairment||variable
Urinary Tract Infection,infectious_bacterial||inflammatory,
Prostate Cancer,neoplastic,high_mortality||progressive||quality_of_life_impairment
Gastroesophageal Reflux Disease||GERD,inflammatory,chronic_condition||high_recurrence_risk||quality_of_life_impairment
Thoracic Outlet Syndrome,vascular||traumatic||congenital||other,chronic_condition
Onchocerciasis,infectious_parasitic,
Depression,,
Opioid Addiction,,
Ear Infections,infectious_bacterial||infectious_viral||inflammatory,high_recurrence_risk||full_recovery
