id,disease_name,diagnosis_challenges,treatment_challenges,sequelae,complications,quality_of_life_impact
disease_0,Chlamydia,nonspecific symptoms||asymptomatic,,infertility||blindness in children,cervicitis||pelvic inflammatory disease||ectopic pregnancy||pneumonia in babies||chlamydial conjunctivitis||infertility,
disease_1,Type 2 Diabetes Mellitus,,,,heart related complications||metabolic complications||inflammation,
disease_2,Pleural Effusion,,,,,
disease_3,Irritable Bowel Syndrome (IBS),lack of accurate diagnostic test,,,,quality_of_life_decline||social_isolation
disease_4,Diabetes type 1,,,blindness||cardiovascular_disorders||large_blood_vessel_damage||kidney_damage||eye_damage||nerve_damage,blindness||cardiovascular_disorders||large_blood_vessel_damage||kidney_damage||eye_damage||nerve_damage||coma,quality_of_life_decline
disease_5,Vohwinkel syndrome,nonspecific symptoms||disease mimics||lack of early recognition,,loss of fingers||loss of toes,anemia||thrombocytopenia,mobility_impairment||self_care_difficulty||dependence_on_others||body_image_issues||emotional_distress||quality_of_life_decline
disease_6,Gout,,high_recurrence_risk||withdrawal_symptoms,,,chronic_pain||mobility_impairment
disease_7,Lung Cancer,,,,metastatic lung cancer||superior vena cava syndrome||paraneoplastic syndrome,
disease_8,Multiple Myeloma,,,,blood clots,
disease_9,Phantom Limb Pain,,financial_burden,,,chronic_pain||emotional_distress
disease_10,Opioid-Induced Constipation,difficult to define onset after opioid initiation||lack of prior symptom inquiry,failure of first and second line laxative treatment||need for specialist medications,,abdominal pain||pain aggravation,quality_of_life_decline||work_disability||absenteeism
disease_11,Rocky Mountain Spotted Fever||RMSF,low sensitivity in early illness||delays in recognizing rash in darker-skinned individuals,higher risk of death with antibiotics other than doxycycline,,encephalitis,
disease_12,Acute Graft-Versus-Host Disease,,,,,
disease_13,Pyoderma gangrenosum,,,,,quality_of_life_decline
disease_14,Herpes Simplex Virus Infection||cold sores||genital herpes,,,,dementia,quality_of_life_decline
disease_15,Asthma,,,,,
disease_16,Legionnaires' Disease,,,,pneumonia,
disease_17,Cystic Fibrosis,,,,,
disease_18,Antibiotic-associated diarrhea,,,,dehydration,
disease_19,Hemophilia B,,high rates of chronic pain||high analgesia use||need for multidisciplinary care,chronic pain||mobility impairment,arthritis||anxiety||depression||high blood pressure||gingivitis,mobility_impairment||chronic_pain||anxiety||depression||self_care_difficulty||quality_of_life_decline
disease_20,Attention-Deficit Hyperactivity Disorder,nonspecific symptoms||disease mimics,overdiagnosis||overtreatment||polypharmacy||side effects||drug abuse||diversion||poor long-term efficacy,,adverse educational outcomes||repeating a grade||special education services||expulsion||suspension,quality_of_life_decline||educational impairment||emotional_distress
disease_21,Microcytic Anemia,asymptomatic||nonspecific symptoms,,,organ damage||death,fatigue
disease_22,Birth Control Heart Attack,,,,stroke||life-threatening clots in legs||life-threatening clots in lungs||arrhythmia||loss of heart function||death,
disease_23,Urinary Tract Infection,,drug resistance,,,
disease_24,Prostate Cancer,nonspecific_symptoms,side_effects||renal_failure_risk,chronic_kidney_disease,kidney_failure||acute_kidney_injury||urinary_obstruction||metastasis_to_liver||metastasis_to_bone||metastasis_to_lung||metastasis_to_lymph_nodes,urinary_dysfunction||sexual_dysfunction||quality_of_life_decline||anxiety
disease_25,Gastroesophageal Reflux Disease||GERD,,drug resistance||frequent relapse||side effects||poor adherence,,erosive esophagitis||Barrett's esophagus||peptic esophageal strictures,quality_of_life_decline
disease_26,Thoracic Outlet Syndrome,nonspecific symptoms||disease mimics,,permanent nerve damage,permanent nerve damage,chronic_pain||work_disability
disease_27,Onchocerciasis,,,,,
disease_28,Depression,,,,suicide,quality_of_life_decline||social_isolation
disease_29,Opioid Addiction,,poor_access||regulation||insurance_coverage||addiction_to_treatment_drugs,,,
disease_30,Ear Infections,,frequent relapse||symptom masking,,,emotional_distress||quality_of_life_decline
disease_31,Lyme Disease,,,,,quality_of_life_decline
disease_32,Opiate Dependency,,painful withdrawals||not very successful,,lost productivity||family problems||crime,loss of self esteem||loss of jobs||loss of families||loss of lives||social outcasts||criminals
disease_33,Duchenne muscular dystrophy,,limited applicability of current drugs||cost||regulatory hurdles,,heart damage||death in 20s or 30s,mobility_impairment||quality_of_life_decline
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),,,,stroke||catastrophic brain bleeds||cerebral blood clots||cerebral infarction,
disease_35,Allergic Reactions,,,,,
disease_36,Poison Oak Rash,,side effects||scarring,,,
disease_37,Postpartum Depression and Anxiety,,,,,emotional_distress||stigma||social_isolation||quality_of_life_decline
disease_38,Acute Appendicitis,imaging_limitations||operator_dependence,,,,
disease_39,Influenza,,,,,
disease_40,Diabetes Mellitus,,management complex,,metabolic starvation,quality_of_life_decline
disease_41,Irritable Bowel Syndrome,,poor efficacy||serious side effects||lack of clinical evidence,,depression||anxiety||panic disorders||psychotic disorders,quality_of_life_decline||anxiety||depression
disease_42,Low Back Pain,nonspecific_symptoms,side_effects||addiction_risk||negative_drug_interactions,chronic_pain||disability,muscle_weakness||nerve_compression||disability,chronic_pain||mobility_impairment||sleep_disorders||work_disability
disease_43,Acne,,drug resistance||side effects,,,
disease_44,Periodontal Disease,,,,periodontal pockets,
disease_45,Panic Disorder,,,,agoraphobia||irritable bowel syndrome||asthma||migraine||atypical chest pain,work_disability
disease_46,Trigeminal Neuralgia,nonspecific symptoms||lack of objective tests||normal physical and neurological examinations,drug side effects||treatment intolerance||insufficient evidence for many interventions||complex pain management,,poor oral hygiene||weight loss||reluctance to socialise||depression||anxiety,chronic_pain||anxiety||depression||social_isolation||quality_of_life_decline||self_care_difficulty||dietary_restriction
disease_47,Irregular Heart Rhythm,,,,death,
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,nonspecific symptoms||variable diagnostic criteria,poor insurance coverage||treatment may worsen symptoms||exclusion of severe cases,,,fatigue||disability||quality_of_life_decline
disease_49,Anxiety Disorders,,side effects,,,quality_of_life_decline||emotional_distress
disease_50,Fibromyalgia,misdiagnosis||misunderstood,current medical treatments fall far short||side effects of pharmaceutical drugs,,,chronic_pain||fatigue||sleep_disorders||anxiety||cognitive_impairment||quality_of_life_decline||self_care_difficulty
disease_51,Idiopathic Intracranial Hypertension,,poor response to standard medical therapy,visual field defects,visual field defects||permanent visual loss,
disease_52,Absence Seizures,,drug not working||intolerance to medication||limited options,,,quality_of_life_decline||mobility_impairment
disease_53,Situational Anxiety,,,,,anxiety||emotional_distress
disease_54,Immune Reconstitution Syndrome (IRS),,,,significant morbidity||mortality,
disease_55,Heart Failure,,,,congestive heart failure,
disease_56,COVID-19,,,,,
disease_57,Stomach Cancer,nonspecific symptoms||difficult to find early,difficult to cure,,,dietary_restriction
disease_58,Plaque Psoriasis,diagnostic_uncertainty,,,hyperuricemia||low folate levels,
disease_59,Tuberculosis,disease mimics||nonspecific symptoms,,,,
disease_60,Parasitic Infections (Tapeworm),,,,,
disease_61,Systemic Lupus Erythematosus||SLE,misdiagnosis||nonspecific_symptoms,high_cost||few_rheumatologists||poor_access_to_care,disability||nerve damage,disability||nerve damage,disability||quality_of_life_decline||financial_burden
disease_62,Metastatic Colorectal Cancer||mCRC,,,,,fatigue||quality_of_life_decline
disease_63,Acute Bacterial Prostatitis,,,,,
disease_64,Secondary Peritonitis,,,,sepsis||multiple organ failure,
disease_65,Opioid Use Disorder,,,,,
disease_66,Essential Hypertension,,,,,
disease_67,Huntington's disease||Huntington's Chorea,,incurable||no proper cure,,,emotional_distress||mental_impact||social_isolation||economic_burden||quality_of_life_decline
disease_68,Heart Murmur,,,,,
disease_69,Charcot Neuropathic Osteoarthropathy,nonspecific symptoms||disease mimics||lack of early biomarkers,poor adherence||lack of effective pharmacologic therapy||risk of relapse||comorbidities||surgical risk,deformity||amputation||mobility impairment,bone destruction||subluxation||dislocation||deformity||ulcer||superinfection||amputation||multiorgan dysfunction syndrome||death,mobility_impairment||chronic_pain||self_care_difficulty||quality_of_life_decline||work_disability
disease_70,HIV-1 Infection,,,,,quality_of_life_decline
disease_71,Celiac Disease,nonspecific symptoms||disease mimics,,,,dietary_restriction||fatigue||quality_of_life_decline
disease_72,Rabies,,,severe neurological complications,encephalitis||death||severe neurological complications,severe neurological complications
disease_73,Human African Trypanosomiasis (Sleeping Sickness),,limited treatment options,,deterioration in neurological function||death,sleep_disorders
disease_74,Diabetic Peripheral Neuropathy,,side effects,,,chronic_pain
disease_75,Crohn's disease,,side effects||poor adherence||withdrawal symptoms,,,fatigue||chronic_pain||dietary_restriction||quality_of_life_decline
disease_76,Osteoarthritis,,,,,
disease_77,Advanced Breast Cancer,,side effects,,,
disease_78,Alzheimer's Disease,lack of simple diagnostic test||brain pathology starts decades before symptoms,no cure,,,self_care_difficulty||dependence_on_others||anxiety||quality_of_life_decline
disease_79,Cancer,,,,bloodstream infections,quality_of_life_decline
disease_80,Sinus Migraine,disease mimics||nonspecific symptoms,poor response to standard sinusitis treatments,,,
disease_81,Major Depressive Disorder,denial of need for care||dismissal of diagnosis||ridicule of need for care,poor adherence||discontinuation of medication||self-adjustment of dosage,,recurrence,burdensome to family||irritability||forgetfulness||impatience||lethargy||neglect self-care
disease_82,Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,asymptomatic||nonspecific symptoms,poor adherence||progression despite treatment,chronic pain||mobility impairment||ulcers||tissue death||gangrene,heart attack||heart disease||stroke||kidney failure||gangrene||chronic limb ischemia||ulcers||tissue death,mobility_impairment||chronic_pain||quality_of_life_decline
disease_83,Cystoid Macular Edema,no way of differentiating treatment-induced disease quiescence from spontaneous disease remission,treatment remains challenging||side effects||prolonged costly treatment||no clear silver bullet for therapy,macular atrophy||permanent structural changes,glaucoma||optic nerve involvement||vitreous opacification||cataract formation,quality_of_life_decline
disease_84,Preeclampsia,nonspecific symptoms||lack of early biomarkers,no definitive treatment||cannot be treated till delivery,,eclampsia||seizures||stroke||severe bleeding||HELLP syndrome||death,
disease_85,Acute Intermittent Porphyria,nonspecific symptoms||disease mimics||delayed diagnosis,high_recurrence_risk||need to avoid triggers||delayed treatment,permanent neurological damage||renal dysfunction||hepatocellular carcinoma||depression||anxiety,depression||anxiety||hepatocellular carcinoma||renal dysfunction||recurrent acute attacks||permanent neurological damage||death,mobility_impairment||chronic_pain||anxiety||depression||dietary_restriction||dependence_on_others||quality_of_life_decline
disease_86,Psoriatic Arthritis||PsA,nonspecific symptoms||symptom attribution to PsA,side effects||cardiovascular risk of some drugs,,cardiovascular disease||metabolic syndrome||atherosclerosis||hyperlipidemia||hypertension||type 2 diabetes||gout||hyperuricemia||endothelial dysfunction||heart failure||depression||anxiety,chronic_pain||fatigue||work_disability||quality_of_life_decline
disease_87,Bell's palsy,,no established treatment for nonrecovering cases,permanent facial weakness,permanent facial weakness||severe corneal damage||disfiguring||social isolation||psychological morbidity||debilitating,disfiguring||social_isolation||psychological_morbidity||debilitating
disease_88,Sarcopenia,nonspecific symptoms||mistaken for normal aging,,,bone fractures||diminished life span||other serious illnesses||premature death||mental health problems||anxiety||depression||isolation||avoidance,mobility_impairment||chronic_pain||anxiety||depression||social_isolation||self_care_difficulty||dependence_on_others||quality_of_life_decline
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,,only a minority benefit from immunotherapy||high cost||identifying responders is critical,,,quality_of_life_decline
disease_90,Peritonitis,,,,,
disease_91,Atrial Fibrillation,,,,stroke||death||serious disability,
disease_92,Primary Biliary Cholangitis,nonspecific_symptoms||biopsy_inaccuracy,only_one_drug_available,,,dietary_restriction
disease_93,Drug Resistant Tuberculosis (DR TB),,drug resistance||poor response to first-line drugs,,,stigma||work_disability||financial_burden||quality_of_life_decline
disease_94,Sinus Infection,,,,,
disease_95,Premenstrual Syndrome,,,,,
disease_96,Hypertension,,poor adherence,,cardiovascular problems,
disease_97,Gut Microbiome Imbalance,,,,,
disease_98,Benign Prostatic Hypertrophy (BPH),,,,,
disease_99,Leptospirosis,nonspecific symptoms,"Late discovery of the disease reduces survival chances. The vaccine remains in development, so it may not be effective for all cases. ... Also, the vaccination often works just for the short term.",,kidney failure,
