disease_name,clinical_info,info_type
Chlamydia,laboratory_test||screening,Diagnostic
Irritable Bowel Syndrome (IBS),functional_test,Diagnostic
Diabetes type 1,laboratory_test,Diagnostic
Vohwinkel syndrome,clinical_evaluation,Diagnostic
Gout,clinical_evaluation,Diagnostic
Lung Cancer,clinical_evaluation,Diagnostic
Opioid-Induced Constipation,clinical_evaluation,Diagnostic
Rocky Mountain Spotted Fever||RMSF,laboratory_test||imaging,Diagnostic
Legionnaires' Disease,clinical_evaluation,Diagnostic
Attention-Deficit Hyperactivity Disorder,clinical_evaluation,Diagnostic
Microcytic Anemia,laboratory_test,Diagnostic
Birth Control Heart Attack,clinical_evaluation||laboratory_test||imaging,Diagnostic
Urinary Tract Infection,laboratory_test,Diagnostic
Prostate Cancer,laboratory_test||screening||clinical_evaluation||imaging,Diagnostic
Gastroesophageal Reflux Disease||GERD,clinical_evaluation||endoscopy||functional_test,Diagnostic
Thoracic Outlet Syndrome,clinical_evaluation,Diagnostic
Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),clinical_evaluation||imaging,Diagnostic
Acute Appendicitis,clinical_evaluation||imaging,Diagnostic
Influenza,clinical_evaluation,Diagnostic
Diabetes Mellitus,laboratory_test,Diagnostic
Irritable Bowel Syndrome,clinical_evaluation,Diagnostic
Low Back Pain,clinical_evaluation||imaging,Diagnostic
Periodontal Disease,clinical_evaluation||imaging,Diagnostic
Trigeminal Neuralgia,clinical_evaluation||imaging,Diagnostic
Irregular Heart Rhythm,clinical_evaluation||functional_test,Diagnostic
Chronic Fatigue Syndrome||myalgic encephalomyelitis,clinical_evaluation,Diagnostic
Anxiety Disorders,clinical_evaluation,Diagnostic
Idiopathic Intracranial Hypertension,clinical_evaluation||imaging||laboratory_test||functional_test,Diagnostic
Immune Reconstitution Syndrome (IRS),clinical_evaluation||laboratory_test,Diagnostic
Heart Failure,clinical_evaluation||imaging,Diagnostic
Stomach Cancer,endoscopy||biopsy||imaging,Diagnostic
Plaque Psoriasis,clinical_evaluation||biopsy,Diagnostic
Tuberculosis,laboratory_test||imaging,Diagnostic
Systemic Lupus Erythematosus||SLE,clinical_evaluation,Diagnostic
Heart Murmur,clinical_evaluation,Diagnostic
Charcot Neuropathic Osteoarthropathy,clinical_evaluation||imaging||biopsy||laboratory_test,Diagnostic
HIV-1 Infection,laboratory_test,Diagnostic
Celiac Disease,clinical_evaluation,Diagnostic
Rabies,laboratory_test||clinical_evaluation,Diagnostic
Diabetic Peripheral Neuropathy,clinical_evaluation||screening,Diagnostic
Alzheimer's Disease,clinical_evaluation,Diagnostic
Sinus Migraine,clinical_evaluation,Diagnostic
Major Depressive Disorder,clinical_evaluation,Diagnostic
Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,clinical_evaluation||screening||laboratory_test||imaging||functional_test,Diagnostic
Cystoid Macular Edema,imaging||clinical_evaluation,Diagnostic
Preeclampsia,clinical_evaluation||laboratory_test,Diagnostic
Acute Intermittent Porphyria,laboratory_test||genetic_testing||clinical_evaluation,Diagnostic
Psoriatic Arthritis||PsA,clinical_evaluation||laboratory_test||imaging||screening,Diagnostic
Bell's palsy,imaging||clinical_evaluation||laboratory_test||functional_test,Diagnostic
Sarcopenia,clinical_evaluation||functional_test||imaging,Diagnostic
Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,clinical_evaluation||laboratory_test||imaging,Diagnostic
Peritonitis,clinical_evaluation||laboratory_test,Diagnostic
Primary Biliary Cholangitis,laboratory_test||imaging||biopsy,Diagnostic
Drug Resistant Tuberculosis (DR TB),laboratory_test||clinical_evaluation,Diagnostic
Gut Microbiome Imbalance,clinical_evaluation,Diagnostic
Leptospirosis,clinical_evaluation||laboratory_test,Diagnostic
Chlamydia,oral_medication||injection,Treatment
Type 2 Diabetes Mellitus,oral_medication||lifestyle_modification||dietary_intervention||regular_exercise,Treatment
