id,disease_name,disease_type,diagnostic_methods,common_symptoms,treatments,prognosis
disease_0,Chlamydia,infectious,laboratory_test||screening,unusual vaginal discharge||pain or burning sensation during urination||frequent urination||bleeding between periods||bleeding after sex||grey or pale yellow discharge||pain during sex||problems with urination||abdominal pain||pain during sex||pain during urination||unusually painful or heavy periods||unusual discharge (may be green or yellow)||severe pain in the abdomen||fever||nausea||vomiting,oral_medication||injection,full_recovery||asymptomatic
disease_1,Type 2 Diabetes Mellitus,metabolic||endocrine,,,oral_medication||lifestyle_modification||dietary_intervention||regular_exercise,
disease_2,Pleural Effusion,inflammatory||infectious||vascular||others,,shortness of breath||chest pain,oral_medication||other,
disease_3,Irritable Bowel Syndrome (IBS),functional,functional_test,abdominal pain||constipation||diarrhea||altered bowel movements,oral_medication||dietary_intervention,
disease_4,Diabetes type 1,autoimmune||endocrine,laboratory_test,thirst||polyuria||weight_loss||healthy_appetite||weakness||muscle_pain||fatigue||irritability||nausea||vomiting||blurry_vision,injection||dietary_intervention||lifestyle_modification,chronic_condition||quality_of_life_impairment
disease_5,Vohwinkel syndrome,genetic,clinical_evaluation,loss of fingers||loss of toes||starfish-shaped patches of thickened skin||honeycomb-like calluses on palms and soles||patches of infected skin||itching||peeling,oral_medication||surgery,disability||quality_of_life_impairment||stable
disease_6,Gout,metabolic||inflammatory,clinical_evaluation,joint pain||toe pain||recurring attacks,oral_medication||lifestyle_modification||dietary_intervention,high_recurrence_risk
disease_7,Lung Cancer,neoplastic,clinical_evaluation,cough||hemoptysis||shortness of breath||chest pain||hoarse voice||facial swelling||neck swelling||weight gain||moon face||weakness||bone pain||kidney stones,chemotherapy||radiotherapy||surgery,high_mortality||progressive
disease_8,Multiple Myeloma,neoplastic,,,chemotherapy||stem cell transplantation,remission_possible
disease_9,Phantom Limb Pain,traumatic,,pain||aches,physical_therapy||injection||oral_medication||device_implantation,
disease_10,Opioid-Induced Constipation,iatrogenic,clinical_evaluation,"difficult defecation||painful defecation||incomplete bowel-emptying||decreased frequency of emptying||hard, lumpy stools||straining",lifestyle_modification||oral_medication||dietary_intervention,variable
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,laboratory_test||imaging,rash||fever||hyponatremia,oral_medication,high_mortality||full_recovery
disease_12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,,abdominal pain||hair loss||hepatitis||lung disorders||digestive tract disorders,injection,high_mortality
disease_13,Pyoderma gangrenosum,inflammatory,,pain||ulceration,oral_medication,
disease_14,Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,,cold sores,,
disease_15,Asthma,autoimmune||allergic,,wheezing||chest tightness||shortness of breath||coughing,oral_medication||inhaler||dietary_intervention,
disease_16,Legionnaires' Disease,infectious,clinical_evaluation,fever||gastrointestinal issues||chest pain||shortness of breath||confusion,oral_medication,full_recovery||low_mortality
